,beginning_balance,beginning_cash,shares_owned,ending_cash,ending_balance,draw_down,actions,ending_balance_percent_change
1500,10000.0,10000.0,0.0,10000.0,10000.0,0.0,hold,0.0
1501,10000.0,10000.0,0.0,10000.0,10000.0,0.0,hold,0.0
1502,10000.0,10000.0,0.0,10000.0,10000.0,0.0,hold,0.0
1503,10000.0,10000.0,0.0,10000.0,10000.0,0.0,hold,0.0
1504,10000.0,10000.0,-46.0,19950.884231567383,10000.0,0.0,short,0.0
1505,10000.0,19950.884231567383,0.0,16670.986877441406,16670.986877441406,0.0,liquidate,0.4001554872836204
1506,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1507,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1508,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1509,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1510,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1511,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1512,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1513,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1514,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1515,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1516,16670.986877441406,16670.986877441406,0.0,16670.986877441406,16670.986877441406,0.0,hold,0.0
1517,16670.986877441406,16670.986877441406,85.0,43.64183044433594,16670.986877441406,0.0,long,0.0
1518,16670.986877441406,43.64183044433594,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,liquidate,-1.8619188918675222
1519,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1520,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1521,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1522,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1523,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1524,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1525,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1526,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1527,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1528,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1529,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1530,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1531,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1532,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
1533,5825.108085632324,5825.108085632324,0.0,5825.108085632324,5825.108085632324,-0.6505840878853635,hold,0.0
